,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,Name,overall_ranking
0,5676.690503120422,154.62299752235413,0.026592731475830078,0.005775928497314453,0.01,0.01,"{'alpha': 0.01, 'l1_ratio': 0.01}",-10.347089077177795,-5.298745162679824,-7.8229171199288094,2.524171957248986,27,mean,2.0
1,5319.500032901764,32.16383361816406,0.01823413372039795,0.0002859830856323242,0.01,0.1,"{'alpha': 0.01, 'l1_ratio': 0.1}",-10.68071364753802,-5.289721330852115,-7.985217489195067,2.695496158342953,28,mean,1.0
2,3672.94698035717,262.2958904504776,0.020146489143371582,0.0006996393203735352,0.01,0.9,"{'alpha': 0.01, 'l1_ratio': 0.9}",-7.577633076509997,-5.244771785748872,-6.411202431129435,1.1664306453805624,24,mean,14.0
3,3570.7260191440582,228.8581075668335,0.02658069133758545,0.007251858711242676,0.01,0.99,"{'alpha': 0.01, 'l1_ratio': 0.99}",-7.404259532234688,-5.241189461905504,-6.322724497070096,1.0815350351645918,22,mean,18.0
4,5789.377637624741,74.52434182167053,0.03868377208709717,0.017888188362121582,0.1,0.01,"{'alpha': 0.1, 'l1_ratio': 0.01}",-7.514133097371268,-5.230169282312909,-6.372151189842088,1.1419819075291793,23,mean,15.0
5,3001.0022978782654,352.02957010269165,0.01892232894897461,0.00045228004455566406,0.1,0.1,"{'alpha': 0.1, 'l1_ratio': 0.1}",-5.977464145913558,-5.211270435795173,-5.594367290854366,0.38309685505919244,17,mean,40.0
6,515.9360065460205,3.6044538021087646,0.01897752285003662,0.00044524669647216797,0.1,0.9,"{'alpha': 0.1, 'l1_ratio': 0.9}",-5.1931105486313545,-5.172787549980663,-5.182949049306009,0.010161499325345602,3,mean,54.0
7,480.38749623298645,34.026474475860596,0.019195199012756348,5.0902366638183594e-05,0.1,0.99,"{'alpha': 0.1, 'l1_ratio': 0.99}",-5.192260204425857,-5.172496375084858,-5.182378289755357,0.00988191467049937,2,mean,55.0
8,1951.9838255643845,573.779366850853,0.028330683708190918,0.006080508232116699,1,0.01,"{'alpha': 1, 'l1_ratio': 0.01}",-5.25104690827176,-5.186440079895938,-5.218743494083849,0.03230341418791083,8,mean,49.0
9,687.4304437637329,2.2660083770751953,0.02999091148376465,0.010854482650756836,1,0.1,"{'alpha': 1, 'l1_ratio': 0.1}",-5.1909666611566765,-5.172690615333209,-5.1818286382449426,0.009138022911733934,1,mean,56.0
10,43.18667125701904,2.231344699859619,0.021410703659057617,0.004657745361328125,1,0.9,"{'alpha': 1, 'l1_ratio': 0.9}",-5.21551232503523,-5.175546023883162,-5.195529174459196,0.01998315057603417,5,mean,52.0
11,23.318904161453247,0.08714962005615234,0.01936793327331543,0.000507354736328125,1,0.99,"{'alpha': 1, 'l1_ratio': 0.99}",-5.220349313412896,-5.178548807467256,-5.199449060440076,0.020900252972820166,6,mean,51.0
12,684.6151920557022,99.1644674539566,0.02638387680053711,0.015206575393676758,10,0.01,"{'alpha': 10, 'l1_ratio': 0.01}",-5.199137931532695,-5.1753276607987715,-5.187232796165733,0.011905135366961694,4,mean,53.0
13,35.74508464336395,2.92190682888031,0.03719687461853027,0.0008785724639892578,10,0.1,"{'alpha': 10, 'l1_ratio': 0.1}",-5.242031239012166,-5.19504612175922,-5.218538680385693,0.023492558626473148,7,mean,50.0
14,1.7817540168762207,0.1284198760986328,0.03553366661071777,0.0033235549926757812,10,0.9,"{'alpha': 10, 'l1_ratio': 0.9}",-5.537162260947799,-5.494152254621946,-5.515657257784873,0.02150500316292625,14,mean,43.0
15,1.7601046562194824,0.09520554542541504,0.03761255741119385,0.00038182735443115234,10,0.99,"{'alpha': 10, 'l1_ratio': 0.99}",-5.557152462791814,-5.5158976675341265,-5.53652506516297,0.020627397628843802,15,mean,42.0
16,164.13963675498962,47.51238441467285,0.04287385940551758,0.011360883712768555,33,0.01,"{'alpha': 33, 'l1_ratio': 0.01}",-5.248914721628472,-5.210590610859457,-5.229752666243964,0.019162055384507326,9,mean,48.0
17,4.627941966056824,2.0683313608169556,0.039925456047058105,0.008483529090881348,33,0.1,"{'alpha': 33, 'l1_ratio': 0.1}",-5.392286914466999,-5.3526859920439325,-5.3724864532554655,0.01980046121153345,12,mean,45.0
18,1.6219546794891357,0.0735483169555664,0.029871821403503418,0.004398941993713379,33,0.9,"{'alpha': 33, 'l1_ratio': 0.9}",-5.6901350637735515,-5.645307875706877,-5.667721469740214,0.022413594033337425,18,mean,39.0
19,1.4898463487625122,0.11819708347320557,0.034476280212402344,0.0029664039611816406,33,0.99,"{'alpha': 33, 'l1_ratio': 0.99}",-5.714604177220645,-5.6688551953805675,-5.691729686300606,0.02287449092003868,19,mean,38.0
20,64.79447078704834,20.175527334213257,0.015341877937316895,0.005236506462097168,66,0.01,"{'alpha': 66, 'l1_ratio': 0.01}",-5.313876318256718,-5.2715836756923204,-5.292729996974519,0.021146321282198954,10,mean,47.0
21,2.4298609495162964,0.3457988500595093,0.041457176208496094,0.003376483917236328,66,0.1,"{'alpha': 66, 'l1_ratio': 0.1}",-5.507505678387634,-5.478282844409934,-5.492894261398784,0.014611416988850046,13,mean,44.0
22,1.5789686441421509,0.06277096271514893,0.03723883628845215,0.004941225051879883,66,0.9,"{'alpha': 66, 'l1_ratio': 0.9}",-6.050190657483733,-5.99151639793838,-6.020853527711056,0.02933712977267655,20,mean,37.0
23,1.6137328147888184,0.1786355972290039,0.06395518779754639,0.03722512722015381,66,0.99,"{'alpha': 66, 'l1_ratio': 0.99}",-6.133771883044207,-6.072405372055437,-6.1030886275498215,0.030683255494384998,21,mean,36.0
24,17.35397779941559,1.7104970216751099,0.020833134651184082,0.0005785226821899414,100,0.01,"{'alpha': 100, 'l1_ratio': 0.01}",-5.370750271496593,-5.328093703972753,-5.349421987734673,0.021328283761920197,11,mean,46.0
25,0.9504373073577881,0.061303138732910156,0.020851850509643555,0.000232696533203125,100,0.1,"{'alpha': 100, 'l1_ratio': 0.1}",-5.604370269320839,-5.568012159970109,-5.586191214645474,0.01817905467536507,16,mean,41.0
26,0.6771608591079712,0.0012198686599731445,0.021315455436706543,0.00015795230865478516,100,0.9,"{'alpha': 100, 'l1_ratio': 0.9}",-6.578765754262019,-6.502792552374441,-6.54077915331823,0.03798660094378903,25,mean,12.0
27,0.7345244884490967,0.0013713836669921875,0.021229267120361328,0.00030231475830078125,100,0.99,"{'alpha': 100, 'l1_ratio': 0.99}",-6.744556035990801,-6.663035364998932,-6.703795700494867,0.040760335495934275,26,mean,10.0
0,4662.184312105179,179.58492922782898,0.008029460906982422,0.0012216567993164062,0.01,0.01,"{'alpha': 0.01, 'l1_ratio': 0.01}",-8.095361414937901,-6.175616187761765,-7.135488801349833,0.9598726135880682,24,constant,7.0
1,1575.8014862537384,1308.724570274353,0.02669060230255127,0.006865143775939941,0.01,0.1,"{'alpha': 0.01, 'l1_ratio': 0.1}",-7.705136133061954,-6.173466030715388,-6.9393010818886705,0.765835051173283,23,constant,8.0
2,38.84734559059143,1.4450640678405762,0.019158124923706055,0.0008137226104736328,0.01,0.9,"{'alpha': 0.01, 'l1_ratio': 0.9}",-6.2449152985871,-6.159204505685318,-6.2020599021362095,0.04285539645089065,14,constant,22.0
3,33.927764654159546,3.0667107105255127,0.019431710243225098,0.0005625486373901367,0.01,0.99,"{'alpha': 0.01, 'l1_ratio': 0.99}",-6.243883231640702,-6.157984322617038,-6.20093377712887,0.04294945451183185,13,constant,23.0
4,1780.9400806427002,29.9390127658844,0.015457630157470703,0.00589299201965332,0.1,0.01,"{'alpha': 0.1, 'l1_ratio': 0.01}",-6.747432004132633,-6.156332141180327,-6.451882072656479,0.29554993147615294,20,constant,13.0
5,189.83604741096497,122.32647562026978,0.028105854988098145,0.010291695594787598,0.1,0.1,"{'alpha': 0.1, 'l1_ratio': 0.1}",-6.285966723173267,-6.146841549061186,-6.216404136117227,0.06956258705604057,15,constant,21.0
6,5.227288484573364,0.3581991195678711,0.018079638481140137,0.0008238554000854492,0.1,0.9,"{'alpha': 0.1, 'l1_ratio': 0.9}",-6.202092350921001,-6.11991869492245,-6.161005522921726,0.04108682799927532,9,constant,27.0
7,5.084291934967041,0.4260897636413574,0.018236398696899414,2.2649765014648438e-05,0.1,0.99,"{'alpha': 0.1, 'l1_ratio': 0.99}",-6.200496167733908,-6.119040351030362,-6.159768259382135,0.04072790835177287,8,constant,28.0
8,218.39624285697937,47.990792751312256,0.038558244705200195,0.004853248596191406,1,0.01,"{'alpha': 1, 'l1_ratio': 0.01}",-6.210182250008736,-6.130909016696301,-6.170545633352519,0.03963661665621743,11,constant,25.0
9,24.996196746826172,9.104749917984009,0.03517735004425049,0.0021260976791381836,1,0.1,"{'alpha': 1, 'l1_ratio': 0.1}",-6.193566951355415,-6.116455362668603,-6.155011157012009,0.038555794343405836,7,constant,29.0
10,2.4109688997268677,0.081656813621521,0.028298139572143555,0.003907680511474609,1,0.9,"{'alpha': 1, 'l1_ratio': 0.9}",-6.181001045118261,-6.090399357885662,-6.135700201501962,0.0453008436162996,1,constant,35.0
11,2.3348180055618286,0.3614445924758911,0.03550565242767334,0.0012282133102416992,1,0.99,"{'alpha': 1, 'l1_ratio': 0.99}",-6.181769085343808,-6.089995168299893,-6.13588212682185,0.04588695852195723,2,constant,34.0
12,28.54665505886078,2.9054759740829468,0.04397392272949219,0.005360126495361328,10,0.01,"{'alpha': 10, 'l1_ratio': 0.01}",-6.184982277162934,-6.108123388554285,-6.146552832858609,0.03842944430432471,5,constant,31.0
13,14.437224864959717,0.20931386947631836,0.037484049797058105,0.0015987157821655273,10,0.1,"{'alpha': 10, 'l1_ratio': 0.1}",-6.182406853286805,-6.090691353569994,-6.1365491034284,0.045857749858405406,3,constant,33.0
14,7.673621416091919,0.3999154567718506,0.04401445388793945,0.0020444393157958984,10,0.9,"{'alpha': 10, 'l1_ratio': 0.9}",-6.363505921951498,-6.271217858887647,-6.317361890419573,0.04614403153192548,17,constant,19.0
15,1.5993354320526123,0.05452132225036621,0.04825711250305176,0.0017762184143066406,10,0.99,"{'alpha': 10, 'l1_ratio': 0.99}",-6.376146067337006,-6.282333314850604,-6.329239691093805,0.04690637624320093,18,constant,17.0
16,11.676551818847656,0.2965545654296875,0.03591418266296387,0.0008642673492431641,33,0.01,"{'alpha': 33, 'l1_ratio': 0.01}",-6.180914619724627,-6.097426716807305,-6.139170668265965,0.041743951458661055,4,constant,32.0
17,4.146737813949585,0.12225174903869629,0.03956317901611328,0.011173009872436523,33,0.1,"{'alpha': 33, 'l1_ratio': 0.1}",-6.234686323300243,-6.139730864151749,-6.187208593725996,0.04747772957424701,12,constant,24.0
18,1.6485835313796997,0.11002218723297119,0.0457308292388916,0.006749153137207031,33,0.9,"{'alpha': 33, 'l1_ratio': 0.9}",-6.7305794545993605,-6.630489350523698,-6.680534402561529,0.05004505203783127,21,constant,11.0
19,1.208318829536438,0.06161820888519287,0.03994333744049072,0.0009278059005737305,33,0.99,"{'alpha': 33, 'l1_ratio': 0.99}",-6.796264542574673,-6.694663732818734,-6.745464137696704,0.05080040487796955,22,constant,9.0
20,5.8778709173202515,0.22027051448822021,0.033696532249450684,0.0003618001937866211,66,0.01,"{'alpha': 66, 'l1_ratio': 0.01}",-6.19292476722608,-6.1063163888627185,-6.149620578044399,0.04330418918168055,6,constant,30.0
21,2.8007760047912598,0.01579141616821289,0.038552284240722656,0.00845479965209961,66,0.1,"{'alpha': 66, 'l1_ratio': 0.1}",-6.325159951668672,-6.237480418419839,-6.2813201850442555,0.043839766624416576,16,constant,20.0
22,1.1667826175689697,0.026108980178833008,0.037290215492248535,0.0057877302169799805,66,0.9,"{'alpha': 66, 'l1_ratio': 0.9}",-7.245594649814946,-7.161703777915137,-7.203649213865042,0.04194543594990474,25,constant,6.0
23,1.2451788187026978,0.00655210018157959,0.04788815975189209,0.0103837251663208,66,0.99,"{'alpha': 66, 'l1_ratio': 0.99}",-7.309976970288838,-7.227893215902095,-7.268935093095466,0.0410418771933716,26,constant,5.0
24,2.710521697998047,0.7113490104675293,0.01910984516143799,0.00039255619049072266,100,0.01,"{'alpha': 100, 'l1_ratio': 0.01}",-6.211770957370172,-6.1228142600603634,-6.167292608715268,0.0444783486549043,10,constant,26.0
25,1.032356858253479,0.007829070091247559,0.018573880195617676,0.00023448467254638672,100,0.1,"{'alpha': 100, 'l1_ratio': 0.1}",-6.403911939187442,-6.311339811815941,-6.357625875501691,0.04628606368575072,19,constant,16.0
26,0.4109923839569092,0.0294952392578125,0.017802119255065918,0.0006140470504760742,100,0.9,"{'alpha': 100, 'l1_ratio': 0.9}",-7.552913484408891,-7.474789832157024,-7.513851658282958,0.039061826125933674,27,constant,4.0
27,0.39665043354034424,0.00956261157989502,0.01866018772125244,0.0003896951675415039,100,0.99,"{'alpha': 100, 'l1_ratio': 0.99}",-7.620720966231402,-7.5375408716334995,-7.579130918932451,0.041590047298951216,28,constant,3.0
